"id","title","release_date","popularity","vote_average","vote_count","budget","revenue","runtime","Year","Film","Producer(s)","Year_Numeric","Is_Oscar_Winner"
676,"Pearl Harbor","2001-05-21",7.4455,6.935,6969,140000000,449220945,183,NA,NA,NA,NA,"No"
59940,"Zebra Lounge","2001-10-04",7.2492,4.356,45,0,0,93,NA,NA,NA,NA,"No"
11845,"Intimacy","2001-01-20",7.0877,6.252,548,0,2672527,119,NA,NA,NA,NA,"No"
1791,"The Piano Teacher","2001-09-05",7.015,7.3,1267,6200000,6766708,131,NA,NA,NA,NA,"No"
2770,"American Pie 2","2001-08-10",6.583,6.25,5283,30000000,287553595,111,NA,NA,NA,NA,"No"
853,"Enemy at the Gates","2001-02-28",6.199,7.417,4010,68000000,96976270,131,NA,NA,NA,NA,"No"
10054,"Spy Kids","2001-03-18",6.0218,5.817,3696,35000000,147934180,88,NA,NA,NA,NA,"No"
15999,"Vampire Hunter D: Bloodlust","2001-04-21",5.8898,7.672,788,0,151086,103,NA,NA,NA,NA,"No"
869,"Planet of the Apes","2001-07-26",5.8554,5.769,4398,100000000,362211740,120,NA,NA,NA,NA,"No"
9889,"Shallow Hal","2001-11-01",5.8453,6.167,3135,40000000,141069860,114,NA,NA,NA,NA,"No"
9378,"Thir13en Ghosts","2001-10-25",5.6204,6.285,2344,42000000,68467960,91,NA,NA,NA,NA,"No"
1391,"Y Tu Mamá También","2001-06-08",5.6144,7.416,1737,5000000,33600000,106,NA,NA,NA,NA,"No"
11397,"Not Another Teen Movie","2001-12-07",5.6069,5.812,2278,16000000,66468332,89,NA,NA,NA,NA,"No"
458685,"Making 'Superman': Filming the Legend","2001-05-01",5.5404,7.2,5,0,0,31,NA,NA,NA,NA,"No"
9476,"A Knight's Tale","2001-05-11",5.4875,6.873,3368,65000000,117487473,133,NA,NA,NA,NA,"No"
1995,"Lara Croft: Tomb Raider","2001-06-15",5.4769,5.908,6490,115000000,274703340,100,NA,NA,NA,NA,"No"
2294,"Jay and Silent Bob Strike Back","2001-08-22",5.4746,6.435,1728,22000000,33788161,104,NA,NA,NA,NA,"No"
8922,"Jeepers Creepers","2001-07-01",5.2237,6.5,3259,10000000,59217789,90,NA,NA,NA,NA,"No"
9397,"Evolution","2001-06-08",5.1148,6.106,2468,80000000,98376292,102,NA,NA,NA,NA,"No"
9398,"Zoolander","2001-09-28",4.9891,6.22,4892,28000000,60780981,89,NA,NA,NA,NA,"No"
68507,"Jan Dara","2001-09-28",4.9718,5.896,53,0,0,113,NA,NA,NA,NA,"No"
546769,"Making the Connection: Untold Stories of The French Connection","2001-09-25",4.9635,7,4,0,0,56,NA,NA,NA,NA,"No"
1903,"Vanilla Sky","2001-12-14",4.9157,6.819,4627,68000000,203388341,136,NA,NA,NA,NA,"No"
824,"Moulin Rouge!","2001-05-18",4.8416,7.529,4827,52500000,179213434,128,NA,NA,NA,NA,"No"
9778,"Serendipity","2001-10-05",4.8226,6.96,2133,28000000,77516304,90,NA,NA,NA,NA,"No"
4133,"Blow","2001-04-04",4.7849,7.353,4576,53000000,83300000,124,NA,NA,NA,NA,"No"
9428,"The Royal Tenenbaums","2001-10-05",4.7496,7.5,4995,21000000,71441250,110,NA,NA,NA,NA,"No"
10950,"I Am Sam","2001-12-28",4.5848,7.565,2487,22000000,92542418,132,NA,NA,NA,NA,"No"
634,"Bridget Jones's Diary","2001-04-13",4.4789,6.74,5468,25000000,281929795,97,NA,NA,NA,NA,"No"
16664,"All About Lily Chou-Chou","2001-10-06",4.4733,7.427,286,1250000,6776921,146,NA,NA,NA,NA,"No"
162092,"Doraemon: Nobita and the Winged Braves","2001-03-10",4.4073,7.25,40,0,30700000,91,NA,NA,NA,NA,"No"
8489,"Ali","2001-12-10",4.3594,6.749,1862,107000000,87812729,157,NA,NA,NA,NA,"No"
8386,"How High","2001-12-21",4.2754,6.355,1046,12000000,31200000,93,NA,NA,NA,NA,"No"
10865,"Atlantis: The Lost Empire","2001-06-02",4.2723,7.039,5114,120000000,186053725,95,NA,NA,NA,NA,"No"
10796,"The One","2001-11-02",4.2254,6.133,1717,49000000,72689126,87,NA,NA,NA,NA,"No"
10992,"Cats & Dogs","2001-06-23",4.2127,5.38,1732,60000000,200687492,87,NA,NA,NA,NA,"No"
9705,"Swordfish","2001-06-08",4.2093,6.259,2929,102000000,147080413,99,NA,NA,NA,NA,"No"
32022,"Case Closed: Countdown to Heaven","2001-04-21",4.1871,7.4,194,0,23895574,100,NA,NA,NA,NA,"No"
9696,"Ichi the Killer","2001-12-22",4.1687,6.988,1093,1400010,80631,129,NA,NA,NA,NA,"No"
2140,"Kiss of the Dragon","2001-07-06",4.0742,6.9,1323,25000000,64437847,98,NA,NA,NA,NA,"No"
37280,"Crayon Shin-chan: The Adult Empire Strikes Back","2001-04-21",4.054,8.214,77,0,10392896,90,NA,NA,NA,NA,"No"
9896,"Rat Race","2001-08-17",4.0456,6.282,1957,48000000,85498534,112,NA,NA,NA,NA,"No"
11299,"Cowboy Bebop: The Movie","2001-09-01",3.9915,7.723,1023,0,0,115,NA,NA,NA,NA,"No"
167,"K-PAX","2001-10-26",3.9803,7.208,2729,48000000,50315140,120,NA,NA,NA,NA,"No"
23446,"One Piece: Clockwork Island Adventure","2001-03-03",3.9438,6.889,294,0,0,60,NA,NA,NA,NA,"No"
11470,"Jason X","2001-11-09",3.9256,4.854,1500,11000000,17077882,91,NA,NA,NA,NA,"No"
1535,"Spy Game","2001-11-18",3.8932,6.92,2345,115000000,143049560,126,NA,NA,NA,NA,"No"
10757,"Kabhi Khushi Kabhie Gham","2001-12-14",3.8857,7.7,595,7500000,11336308,209,NA,NA,NA,NA,"No"
11457,"Life as a House","2001-10-25",3.7226,7.098,445,18000000,23903791,125,NA,NA,NA,NA,"No"
2110,"Wasabi","2001-10-31",3.6966,6.659,1416,15300000,10366360,94,NA,NA,NA,NA,"No"
2043,"Along Came a Spider","2001-04-06",3.6642,6.349,2046,60000000,105200000,104,NA,NA,NA,NA,"No"
10866,"Joy Ride","2001-10-05",3.653,6.541,1340,23000000,36642838,97,NA,NA,NA,NA,"No"
2100,"The Last Castle","2001-10-19",3.6252,7.174,1411,72000000,27642707,131,NA,NA,NA,NA,"No"
27324,"Pulse","2001-02-03",3.5805,6.691,662,25000000,318451,119,NA,NA,NA,NA,"No"
11313,"Hearts in Atlantis","2001-09-28",3.5486,6.766,612,31000000,24185781,101,NA,NA,NA,NA,"No"
10833,"Heartbreakers","2001-03-23",3.5236,6.118,984,35000000,57800000,123,NA,NA,NA,NA,"No"
12600,"Pokémon 4Ever","2001-07-07",3.5111,6.475,460,0,40807089,80,NA,NA,NA,NA,"No"
3172,"Bandits","2001-10-12",3.453,6.307,1100,75000000,67631903,123,NA,NA,NA,NA,"No"
11371,"The Score","2001-07-13",3.4249,6.699,1839,68000000,113579918,124,NA,NA,NA,NA,"No"
10477,"Driven","2001-04-27",3.419,5.125,810,94000000,54744738,116,NA,NA,NA,NA,"No"
36201,"Digimon Adventure 02: Revenge of Diaboromon","2001-03-03",3.3525,6.9,55,0,27853696,30,NA,NA,NA,NA,"No"
10956,"Joe Dirt","2001-04-10",3.3515,5.631,800,17700000,30987695,91,NA,NA,NA,NA,"No"
768,"From Hell","2001-02-08",3.3488,6.697,2998,35000000,74558115,122,NA,NA,NA,NA,"No"
1433,"The Devil's Backbone","2001-04-20",3.346,7.293,1352,4500000,6582065,108,NA,NA,NA,NA,"No"
1365,"Monster's Ball","2001-12-26",3.3241,6.788,1080,4000000,44900000,113,NA,NA,NA,NA,"No"
2114,"Final Fantasy: The Spirits Within","2001-07-02",3.3166,6.194,1583,137000000,85131830,106,NA,NA,NA,NA,"No"
2018,"The Wedding Planner","2001-01-26",3.2777,5.928,1811,35000000,94700000,103,NA,NA,NA,NA,"No"
18269,"Lady and the Tramp II: Scamp's Adventure","2001-02-18",3.2311,6.348,1313,0,0,69,NA,NA,NA,NA,"No"
5279,"Gosford Park","2001-12-26",3.2235,6.819,1230,19800000,87754044,137,NA,NA,NA,NA,"No"
570,"Fat Girl","2001-03-07",3.2151,6.194,255,0,766000,86,NA,NA,NA,NA,"No"
214989,"Comic King","2001-01-19",3.1838,6,4,0,0,94,NA,NA,NA,NA,"No"
9606,"Metropolis","2001-05-26",3.1678,7.145,553,15000000,4035384,107,NA,NA,NA,NA,"No"
16161,"Baby Boy","2001-06-27",3.1662,7.08,351,16000000,29381649,130,NA,NA,NA,NA,"No"
42360,"Inuyasha the Movie: Affections Touching Across Time","2001-12-15",3.1307,7.543,196,0,10539779,99,NA,NA,NA,NA,"No"
15720,"The Man from Elysian Fields","2001-09-13",3.1244,5.885,65,6500000,2006391,106,NA,NA,NA,NA,"No"
